,0,1,2
0,Member_number,Date,itemDescription
1,1808,21-07-2015,tropical fruit
2,2552,05-01-2015,whole milk
3,2300,19-09-2015,pip fruit
4,1187,12-12-2015,other vegetables
5,3037,01-02-2015,whole milk
6,4941,14-02-2015,rolls/buns
7,4501,08-05-2015,other vegetables
8,3803,23-12-2015,pot plants
9,2762,20-03-2015,whole milk
10,4119,12-02-2015,tropical fruit
11,1340,24-02-2015,citrus fruit
12,2193,14-04-2015,beef
13,1997,21-07-2015,frankfurter
14,4546,03-09-2015,chicken
15,4736,21-07-2015,butter
16,1959,30-03-2015,fruit/vegetable juice
17,1974,03-05-2015,packaged fruit/vegetables
18,2421,02-09-2015,chocolate
19,1513,03-08-2015,specialty bar
20,1905,07-07-2015,other vegetables
21,2810,08-09-2015,butter milk
22,2867,12-11-2015,whole milk
23,3962,18-09-2015,tropical fruit
24,1088,30-11-2015,tropical fruit
25,4976,17-07-2015,bottled water
26,4056,12-06-2015,yogurt
27,3611,13-02-2015,sausage
28,1420,14-01-2015,other vegetables
29,4286,08-03-2015,brown bread
30,4918,27-01-2015,yogurt
31,4783,22-10-2015,hamburger meat
32,3709,26-10-2015,root vegetables
33,4289,08-10-2015,pork
34,1559,03-10-2015,beef
35,2900,11-04-2015,pastry
36,1905,21-02-2015,fruit/vegetable juice
37,3527,29-09-2015,canned beer
38,1495,09-01-2015,root vegetables
39,3558,03-04-2015,citrus fruit
40,3128,20-04-2015,sausage
41,1863,04-08-2015,tropical fruit
42,3841,19-07-2015,berries
43,3903,06-10-2015,canned beer
44,2658,16-10-2015,butter milk
45,4272,06-06-2015,coffee
46,1120,26-09-2015,pastry
47,2676,15-08-2015,rolls/buns
48,1697,21-05-2015,misc. beverages
49,2507,25-08-2015,root vegetables
50,4620,11-03-2015,sausage
51,3365,01-02-2015,canned beer
52,2978,05-06-2015,ham
53,2910,28-07-2015,turkey
54,1061,05-09-2015,whole milk
55,3276,03-04-2015,whole milk
56,1326,19-06-2015,packaged fruit/vegetables
57,3023,28-07-2015,rolls/buns
58,2185,11-10-2015,ham
59,3552,16-06-2015,rolls/buns
60,1967,20-01-2015,other vegetables
61,4708,20-03-2015,sausage
62,2874,15-02-2015,sausage
63,4177,13-04-2015,frankfurter
64,1663,07-02-2015,rolls/buns
65,2632,02-03-2015,whole milk
66,1377,14-03-2015,curd cheese
67,4162,22-12-2015,red/blush wine
68,2270,01-07-2015,sausage
69,4829,03-11-2015,tropical fruit
70,3811,14-04-2015,red/blush wine
71,4766,29-09-2015,whole milk
72,2436,12-04-2015,frankfurter
73,3860,05-05-2015,whole milk
74,4875,12-05-2015,frozen potato products
75,1587,01-07-2015,other vegetables
76,4038,08-07-2015,citrus fruit
77,4750,21-09-2015,flour
78,1199,10-12-2015,sugar
79,1603,30-09-2015,frozen meals
80,3111,31-01-2015,chocolate
81,3894,13-12-2015,root vegetables
82,1456,18-09-2015,root vegetables
83,2022,04-03-2015,herbs
84,2505,30-11-2015,bottled water
85,4851,20-12-2015,sausage
86,4293,04-08-2015,coffee
87,2775,06-11-2015,pork
88,3693,18-02-2015,berries
89,1202,22-07-2015,soda
90,3699,23-08-2015,berries
91,4152,15-04-2015,fruit/vegetable juice
92,4155,26-01-2015,citrus fruit
93,4010,29-12-2015,pork
94,4389,20-10-2015,detergent
95,3746,17-08-2015,grapes
96,2560,17-05-2015,sausage
97,1503,25-07-2015,chicken
98,2555,23-12-2015,whole milk
99,3645,12-12-2015,citrus fruit
100,3886,11-09-2015,soda
101,2932,20-03-2015,sausage
102,1711,18-06-2015,frankfurter
103,4291,08-12-2015,sausage
104,1143,25-04-2015,soda
105,4564,08-07-2015,rolls/buns
106,3337,14-05-2015,beef
107,4931,04-05-2015,whole milk
108,2623,10-10-2015,processed cheese
109,4581,03-04-2015,tropical fruit
110,2635,11-06-2015,frankfurter
111,1095,30-10-2015,packaged fruit/vegetables
112,2990,23-05-2015,whole milk
113,2426,05-06-2015,berries
114,4555,07-11-2015,citrus fruit
115,3635,04-09-2015,tropical fruit
116,3058,18-05-2015,hamburger meat
117,4391,26-03-2015,hamburger meat
118,1306,23-06-2015,whole milk
119,1024,10-08-2015,fish
120,1295,23-07-2015,frankfurter
121,1661,01-06-2015,packaged fruit/vegetables
122,4591,15-05-2015,pastry
123,3169,14-06-2015,other vegetables
124,3915,21-05-2015,misc. beverages
125,1127,14-01-2015,frankfurter
126,4828,08-08-2015,sparkling wine
127,3683,10-06-2015,specialty bar
128,1971,18-09-2015,sausage
129,3014,11-11-2015,curd cheese
130,3779,15-09-2015,frankfurter
131,2489,04-05-2015,whole milk
132,3564,27-06-2015,newspapers
133,4092,30-09-2015,berries
134,3221,13-01-2015,curd
135,1279,06-09-2015,tropical fruit
136,2581,22-08-2015,soda
137,2295,25-02-2015,rolls/buns
138,4760,22-02-2015,canned beer
139,3649,16-01-2015,canned beer
140,1075,19-11-2015,frankfurter
141,3987,19-08-2015,other vegetables
142,4106,25-08-2015,whole milk
143,4338,24-06-2015,whole milk
144,4166,06-11-2015,citrus fruit
145,1211,10-03-2015,frankfurter
146,3954,21-01-2015,frankfurter
147,3928,18-07-2015,butter milk
148,3827,30-09-2015,hamburger meat
149,4699,08-02-2015,pasta
150,4747,08-06-2015,other vegetables
151,3028,09-06-2015,sausage
152,2851,16-03-2015,rolls/buns
153,4417,25-02-2015,grapes
154,3822,07-03-2015,root vegetables
155,2288,31-05-2015,coffee
156,2184,30-06-2015,popcorn
157,4554,27-08-2015,whole milk
158,3361,05-03-2015,tropical fruit
